metcode2,share_evac,kat_affected,lot_evac,treat,control,distance
290,0,0,0,0,1,
300,0,0,0,0,1,13.914324
306,0,0,0,0,1,17.946829
308,0,0,0,0,1,
312,0,0,0,0,1,11.8097
316,0,0,0,0,1,9.2033005
318,.039962485,0,1,1,0,
324,.043674659,0,1,1,0,16.806944
326,0,0,0,0,1,
328,0,0,0,0,1,21.016092
329,0,0,0,0,1,10.345936
332,0,0,0,0,1,
336,.026344504,0,1,1,0,5.4530845
340,0,0,0,0,1,11.363697
344,0,0,0,0,1,5.8413386
348,.0072496706,0,0,0,0,10.529819
350,0,0,0,0,1,
352,0,0,0,0,1,13.523896
356,.021233302,0,1,1,0,
359,.0097895777,0,0,0,0,
360,0,0,0,0,1,10.790135
362,0,0,0,0,1,12.796459
