InputID,TargetID,Distance,fipscounty,msa,msaname,cbsaname
11780,310M300US35380,14.9642398751,,,,
29500,310M300US35380,12.3309161969,,,,
44060,310M300US35380,33.1296234188,53063,7840,"SPOKANE, WA","Spokane, WA"
13100,310M300US35380,12.3579025107,,,,
19980,310M300US35380,12.6272913296,,,,
44260,310M300US35380,3.67867854928,,,,
17580,310M300US35380,14.1893924883,,,,
43780,310M300US35380,12.4665062672,26027,23,MICHIGAN,"South Bend-Mishawaka, IN-MI"
40620,310M300US35380,8.1830065642,,,,
48140,310M300US35380,14.994211518,55073,8940,"WAUSAU, WI","Wausau, WI"
15620,310M300US35380,15.1520077591,,,,
48220,310M300US35380,10.7165384902,,,,
11220,310M300US35380,20.2343053685,,,,
24540,310M300US35380,17.946829374,8123,3060,"GREELEY, CO","Greeley, CO"
23420,310M300US35380,30.4821276612,6019,2840,"FRESNO, CA","Fresno, CA"
32260,310M300US35380,12.5089183803,,,,
34620,310M300US35380,11.2814995782,18035,5280,"MUNCIE, IN","Muncie, IN"
13180,310M300US35380,13.567792932,,,,
19180,310M300US35380,10.514823146,17183,14,ILLINOIS,"Danville, IL"
14340,310M300US35380,12.7691036051,,,,
29460,310M300US35380,8.47935219909,12105,3980,"LAKELAND-WINTER HAVEN, FL","Lakeland, FL"
33020,310M300US35380,9.50195563964,,,,
42340,310M300US35380,8.92795125924,13103,7520,"SAVANNAH, GA","Savannah, GA"
19580,310M300US35380,12.6561079686,,,,
16460,310M300US35380,8.80512278685,,,,
25820,310M300US35380,13.6315527222,,,,
46020,310M300US35380,32.2211195938,,,,
22340,310M300US35380,6.97853427909,,,,
46620,310M300US35380,9.82976733683,,,,
43980,310M300US35380,14.1677072285,,,,
21300,310M300US35380,17.9902767907,36015,2335,"ELMIRA, NY","Elmira, NY"
49220,310M300US35380,14.5508463601,,,,
48460,310M300US35380,7.1372634465,,,,
33220,310M300US35380,14.8240175671,,,,
29020,310M300US35380,11.2511510408,18159,3850,"KOKOMO, IN","Kokomo, IN"
20340,310M300US35380,9.13506344505,,,,
26940,310M300US35380,3.75220385699,,,,
30580,310M300US35380,13.1146224856,,,,
26090,310M300US35380,13.3201801394,,,,
22100,310M300US35380,7.92314449951,,,,
25720,310M300US35380,23.6445047925,,,,
