geoid,metcode2,share_evac_morg,share_evac_asec,kat_affected,treat,treat_expanded,control
,540,,,0,,,
,548,0,0,0,0,0,1
,552,0,0,0,0,0,1
,566,,,0,,,
,640,.00088630314,0,0,0,0,
,645,0,0,0,0,0,1
,646,0,0,0,0,0,1
,648,0,0,0,0,0,1
,747,,0,0,,,
,751,.0026946368,0,0,0,0,
,800,0,0,0,0,0,1
,804,,,0,,,
,820,,,0,,,
,874,,0,0,,,
,888,,0,0,,,
,896,,,1,,,
,916,,,0,,,
,924,,0,0,,,
,927,,,0,,,
,,,,,,,
